game,TotalCellsVisisted,ControllerName,levelSize,GameSpaceSearched,GameScore,Win,EndGameTick
0,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
1,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
2,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
3,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
4,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
5,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
6,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
7,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
8,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
9,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
10,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
11,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
12,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
13,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
14,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
15,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
16,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
17,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
18,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
19,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
20,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
21,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
22,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
23,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
24,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
25,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
26,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
27,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
28,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
29,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
30,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
31,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
32,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
33,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
34,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
35,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
36,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
37,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
38,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
39,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
40,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
41,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
42,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
43,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
44,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
45,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
46,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
47,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
48,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
49,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
50,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
51,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
52,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
53,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
54,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
55,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
56,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
57,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
58,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
59,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
60,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
61,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
62,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
63,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
64,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
65,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
66,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
67,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
68,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
69,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
70,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
71,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
72,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
73,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
74,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
75,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
76,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
77,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
78,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
79,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
80,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
81,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
82,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
83,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
84,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
85,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
86,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
87,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
88,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
89,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
90,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
91,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
92,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
93,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
94,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
95,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
96,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
97,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
98,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
99,1,controllers.singlePlayer.breadthFirstSearch.Agent,435357,0.8547008547008548,0,0,1000
