"|","|__TotalCellsVisisted","|__ControllerName","|__levelSize","|__GameSpaceSearched","|__GameScore","|__EndGameTick"
"GameData_18_14","495","controllers.singlePlayer.sampleOLMCTS.Agent","456192","0","1","1087"
"GameData_0_16","23","controllers.singlePlayer.sampleOLMCTS.Agent","292500","0","0","2000"
"GameData_18_15","496","controllers.singlePlayer.sampleOLMCTS.Agent","456192","0","1","287"
"GameData_0_13","22","controllers.singlePlayer.sampleOLMCTS.Agent","292500","0","0","2000"
"GameData_18_16","497","controllers.singlePlayer.sampleOLMCTS.Agent","456192","0","0","1500"
"GameData_0_14","22","controllers.singlePlayer.sampleOLMCTS.Agent","292500","0","0","2000"
"GameData_18_17","497","controllers.singlePlayer.sampleOLMCTS.Agent","456192","0","0","1500"
"GameData_15_8","169","controllers.singlePlayer.sampleOLMCTS.Agent","241472","0","13","1697"
"GameData_15_9","169","controllers.singlePlayer.sampleOLMCTS.Agent","241472","0","2","487"
"GameData_19_12","117","controllers.singlePlayer.sampleOLMCTS.Agent","368676","0","3","1000"
"GameData_19_11","116","controllers.singlePlayer.sampleOLMCTS.Agent","368676","0","5","1000"
"GameData_1_19","53","controllers.singlePlayer.sampleOLMCTS.Agent","337920","0","79","462"
"GameData_19_14","117","controllers.singlePlayer.sampleOLMCTS.Agent","368676","0","-3","798"
"GameData_1_18","30","controllers.singlePlayer.sampleOLMCTS.Agent","337920","0","64","828"
"GameData_19_13","117","controllers.singlePlayer.sampleOLMCTS.Agent","368676","0","6","1000"
"GameData_19_10","116","controllers.singlePlayer.sampleOLMCTS.Agent","368676","0","5","1000"
"GameData_1_13","30","controllers.singlePlayer.sampleOLMCTS.Agent","337920","0","60","653"
"GameData_1_12","30","controllers.singlePlayer.sampleOLMCTS.Agent","337920","0","78","663"
"GameData_19_19","550","controllers.singlePlayer.sampleOLMCTS.Agent","368676","0","-1","443"
"GameData_1_11","30","controllers.singlePlayer.sampleOLMCTS.Agent","337920","0","59","687"
"GameData_1_10","30","controllers.singlePlayer.sampleOLMCTS.Agent","337920","0","77","648"
"GameData_1_17","30","controllers.singlePlayer.sampleOLMCTS.Agent","337920","0","76","618"
"GameData_19_16","117","controllers.singlePlayer.sampleOLMCTS.Agent","368676","0","-1","706"
"GameData_1_16","30","controllers.singlePlayer.sampleOLMCTS.Agent","337920","0","73","610"
"GameData_19_15","117","controllers.singlePlayer.sampleOLMCTS.Agent","368676","0","-1","672"
"GameData_1_15","30","controllers.singlePlayer.sampleOLMCTS.Agent","337920","0","72","436"
"GameData_19_18","117","controllers.singlePlayer.sampleOLMCTS.Agent","368676","0","-1","976"
"GameData_1_14","30","controllers.singlePlayer.sampleOLMCTS.Agent","337920","0","69","650"
"GameData_19_17","117","controllers.singlePlayer.sampleOLMCTS.Agent","368676","0","5","1000"
"GameData_15_2","125","controllers.singlePlayer.sampleOLMCTS.Agent","241472","0","4","1155"
"GameData_15_3","144","controllers.singlePlayer.sampleOLMCTS.Agent","241472","0","17","901"
"GameData_15_0","13","controllers.singlePlayer.sampleOLMCTS.Agent","241472","0","4","964"
"GameData_15_1","53","controllers.singlePlayer.sampleOLMCTS.Agent","241472","0","16","1368"
"GameData_15_6","157","controllers.singlePlayer.sampleOLMCTS.Agent","241472","0","18","908"
"GameData_15_7","169","controllers.singlePlayer.sampleOLMCTS.Agent","241472","0","12","1184"
"GameData_15_4","154","controllers.singlePlayer.sampleOLMCTS.Agent","241472","0","4","613"
"GameData_15_5","156","controllers.singlePlayer.sampleOLMCTS.Agent","241472","0","8","659"
"GameData_11_16","215","controllers.singlePlayer.sampleOLMCTS.Agent","241472","0","36","1667"
"GameData_4_10","68","controllers.singlePlayer.sampleOLMCTS.Agent","360000","0","100","115"
"GameData_11_15","215","controllers.singlePlayer.sampleOLMCTS.Agent","241472","0","34","740"
"GameData_4_11","69","controllers.singlePlayer.sampleOLMCTS.Agent","360000","0","100","1846"
"GameData_11_18","215","controllers.singlePlayer.sampleOLMCTS.Agent","241472","0","36","1231"
"GameData_4_12","69","controllers.singlePlayer.sampleOLMCTS.Agent","360000","0","100","982"
"GameData_11_17","215","controllers.singlePlayer.sampleOLMCTS.Agent","241472","0","36","541"
"GameData_11_19","223","controllers.singlePlayer.sampleOLMCTS.Agent","241472","0","26","2000"
"GameData_10_7","86","controllers.singlePlayer.sampleOLMCTS.Agent","110592","0","-1","79"
"GameData_10_8","86","controllers.singlePlayer.sampleOLMCTS.Agent","110592","0","-1","79"
"GameData_10_5","77","controllers.singlePlayer.sampleOLMCTS.Agent","110592","0","-1","79"
"GameData_10_6","78","controllers.singlePlayer.sampleOLMCTS.Agent","110592","0","-1","79"
"GameData_10_9","86","controllers.singlePlayer.sampleOLMCTS.Agent","110592","0","-1","79"
"GameData_4_17","70","controllers.singlePlayer.sampleOLMCTS.Agent","360000","0","100","1905"
"GameData_4_18","70","controllers.singlePlayer.sampleOLMCTS.Agent","360000","0","100","373"
"GameData_10_0","23","controllers.singlePlayer.sampleOLMCTS.Agent","110592","0","-1","79"
"GameData_4_19","189","controllers.singlePlayer.sampleOLMCTS.Agent","360000","0","0","60"
"GameData_4_13","69","controllers.singlePlayer.sampleOLMCTS.Agent","360000","0","0","2000"
"GameData_10_3","63","controllers.singlePlayer.sampleOLMCTS.Agent","110592","0","-1","79"
"GameData_4_14","70","controllers.singlePlayer.sampleOLMCTS.Agent","360000","0","100","923"
"GameData_10_4","75","controllers.singlePlayer.sampleOLMCTS.Agent","110592","0","-1","79"
"GameData_4_15","70","controllers.singlePlayer.sampleOLMCTS.Agent","360000","0","100","286"
"GameData_10_1","59","controllers.singlePlayer.sampleOLMCTS.Agent","110592","0","-1","79"
"GameData_4_16","70","controllers.singlePlayer.sampleOLMCTS.Agent","360000","0","100","374"
"GameData_10_2","60","controllers.singlePlayer.sampleOLMCTS.Agent","110592","0","-1","79"
"GameData_5_10","258","controllers.singlePlayer.sampleOLMCTS.Agent","364500","0","10","2000"
"GameData_12_18","15","controllers.singlePlayer.sampleOLMCTS.Agent","435357","0","0","1000"
"GameData_5_11","271","controllers.singlePlayer.sampleOLMCTS.Agent","364500","0","3","2000"
"GameData_12_19","230","controllers.singlePlayer.sampleOLMCTS.Agent","435357","0","-1","996"
"GameData_5_12","277","controllers.singlePlayer.sampleOLMCTS.Agent","364500","0","3","2000"
"GameData_12_16","15","controllers.singlePlayer.sampleOLMCTS.Agent","435357","0","0","1000"
"GameData_5_13","294","controllers.singlePlayer.sampleOLMCTS.Agent","364500","0","8","2000"
"GameData_12_17","15","controllers.singlePlayer.sampleOLMCTS.Agent","435357","0","0","1000"
"GameData_5_18","310","controllers.singlePlayer.sampleOLMCTS.Agent","364500","0","9","2000"
"GameData_5_19","140","controllers.singlePlayer.sampleOLMCTS.Agent","364500","0","3","2000"
"GameData_5_14","295","controllers.singlePlayer.sampleOLMCTS.Agent","364500","0","2","481"
"GameData_5_15","308","controllers.singlePlayer.sampleOLMCTS.Agent","364500","0","15","2000"
"GameData_5_16","310","controllers.singlePlayer.sampleOLMCTS.Agent","364500","0","3","2000"
"GameData_5_17","310","controllers.singlePlayer.sampleOLMCTS.Agent","364500","0","3","2000"
"GameData_12_10","15","controllers.singlePlayer.sampleOLMCTS.Agent","435357","0","0","1000"
"GameData_12_11","15","controllers.singlePlayer.sampleOLMCTS.Agent","435357","0","0","1000"
"GameData_12_14","15","controllers.singlePlayer.sampleOLMCTS.Agent","435357","0","0","1000"
"GameData_12_15","15","controllers.singlePlayer.sampleOLMCTS.Agent","435357","0","0","1000"
"GameData_12_12","15","controllers.singlePlayer.sampleOLMCTS.Agent","435357","0","0","1000"
"GameData_12_13","15","controllers.singlePlayer.sampleOLMCTS.Agent","435357","0","0","1000"
"GameData_10_15","97","controllers.singlePlayer.sampleOLMCTS.Agent","110592","0","-1","79"
"GameData_10_14","97","controllers.singlePlayer.sampleOLMCTS.Agent","110592","0","-1","79"
"GameData_10_17","97","controllers.singlePlayer.sampleOLMCTS.Agent","110592","0","-1","79"
"GameData_10_16","97","controllers.singlePlayer.sampleOLMCTS.Agent","110592","0","-1","79"
"GameData_3_11","185","controllers.singlePlayer.sampleOLMCTS.Agent","232500","0","-16","986"
"GameData_10_19","216","controllers.singlePlayer.sampleOLMCTS.Agent","110592","0","-1","79"
"GameData_3_10","185","controllers.singlePlayer.sampleOLMCTS.Agent","232500","0","-11","1081"
"GameData_10_18","97","controllers.singlePlayer.sampleOLMCTS.Agent","110592","0","-1","79"
"GameData_3_15","185","controllers.singlePlayer.sampleOLMCTS.Agent","232500","0","-7","1295"
"GameData_3_14","185","controllers.singlePlayer.sampleOLMCTS.Agent","232500","0","-12","1148"
"GameData_3_13","185","controllers.singlePlayer.sampleOLMCTS.Agent","232500","0","-9","1083"
"GameData_3_12","185","controllers.singlePlayer.sampleOLMCTS.Agent","232500","0","5","1429"
"GameData_3_19","274","controllers.singlePlayer.sampleOLMCTS.Agent","232500","0","-9","1151"
"GameData_3_18","185","controllers.singlePlayer.sampleOLMCTS.Agent","232500","0","-14","1122"
"GameData_3_17","185","controllers.singlePlayer.sampleOLMCTS.Agent","232500","0","-15","901"
"GameData_3_16","185","controllers.singlePlayer.sampleOLMCTS.Agent","232500","0","-4","1932"
"GameData_0_4","21","controllers.singlePlayer.sampleOLMCTS.Agent","292500","0","0","2000"
"GameData_12_5","14","controllers.singlePlayer.sampleOLMCTS.Agent","435357","0","0","1000"
"GameData_0_5","21","controllers.singlePlayer.sampleOLMCTS.Agent","292500","0","0","2000"
"GameData_12_6","14","controllers.singlePlayer.sampleOLMCTS.Agent","435357","0","0","1000"
"GameData_0_2","21","controllers.singlePlayer.sampleOLMCTS.Agent","292500","0","0","2000"
"GameData_12_3","14","controllers.singlePlayer.sampleOLMCTS.Agent","435357","0","0","1000"
"GameData_0_3","21","controllers.singlePlayer.sampleOLMCTS.Agent","292500","0","0","2000"
"GameData_12_4","14","controllers.singlePlayer.sampleOLMCTS.Agent","435357","0","0","1000"
"GameData_0_8","22","controllers.singlePlayer.sampleOLMCTS.Agent","292500","0","0","2000"
"GameData_12_9","14","controllers.singlePlayer.sampleOLMCTS.Agent","435357","0","0","1000"
"GameData_0_9","22","controllers.singlePlayer.sampleOLMCTS.Agent","292500","0","0","2000"
"GameData_0_6","22","controllers.singlePlayer.sampleOLMCTS.Agent","292500","0","0","2000"
"GameData_12_7","14","controllers.singlePlayer.sampleOLMCTS.Agent","435357","0","0","1000"
"GameData_0_7","22","controllers.singlePlayer.sampleOLMCTS.Agent","292500","0","0","2000"
"GameData_12_8","14","controllers.singlePlayer.sampleOLMCTS.Agent","435357","0","0","1000"
"GameData_10_11","97","controllers.singlePlayer.sampleOLMCTS.Agent","110592","0","-1","79"
"GameData_12_1","13","controllers.singlePlayer.sampleOLMCTS.Agent","435357","0","0","1000"
"GameData_10_10","88","controllers.singlePlayer.sampleOLMCTS.Agent","110592","0","-1","79"
"GameData_12_2","14","controllers.singlePlayer.sampleOLMCTS.Agent","435357","0","0","1000"
"GameData_10_13","97","controllers.singlePlayer.sampleOLMCTS.Agent","110592","0","-1","79"
"GameData_10_12","97","controllers.singlePlayer.sampleOLMCTS.Agent","110592","0","-1","79"
"GameData_12_0","13","controllers.singlePlayer.sampleOLMCTS.Agent","435357","0","0","1000"
"GameData_11_10","214","controllers.singlePlayer.sampleOLMCTS.Agent","241472","0","32","836"
